prix_terasse,geoloc,address,name,date,zipcode,geometry,recordid,prix_salle,prix_comptoir,city,country
-,"[48.839512, 2.303007]",344Vrue Vaugirard,Coffee Chope,2014-02-01,75015,"{'coordinates': [2.303007, 48.839512], 'type': 'Point'}",3c276428d45ad68ccdf6875e4ddcfe95d0c0d4cf,-,1,Paris,France
-,"[48.876737, 2.357601]","5, rue d'Alsace",Extérieur Quai,2014-02-01,75010,"{'coordinates': [2.357601, 48.876737], 'type': 'Point'}",97ad81cd1127a8566085ad796eeb44a06bec7514,-,1,Paris,France
-,"[48.850852, 2.362029]",6 Bd henri IV,Le Sully,2014-02-01,75004,"{'coordinates': [2.362029, 48.850852], 'type': 'Point'}",aa4294c1b8d660a23db0dc81321e509bae1dae68,-,1,Paris,France
1,"[48.893517, 2.340271]",53 rue du ruisseau,O q de poule,2013-08-22,75018,"{'coordinates': [2.340271, 48.893517], 'type': 'Point'}",a81362dbed35247555fb105bd83ff2906904a66e,-,1,Paris,France
-,"[48.864655, 2.350089]",1 Passage du Grand Cerf,Le Pas Sage,2013-08-22,75002,"{'coordinates': [2.350089, 48.864655], 'type': 'Point'}",7ced86acbd5ccfba229bcc07d70d0d117aee16a5,-,1,Paris,France
-,"[48.895825, 2.339712]",112 Rue Championnet,La Renaissance,2013-08-22,75018,"{'coordinates': [2.339712, 48.895825], 'type': 'Point'}",5582c8572bd7637bf305b74c1c0bdb74a8e4247f,-,1,Paris,France
-,"[48.868581, 2.373015]",Rue de la Fontaine au Roi,La Caravane,2012-05-11,75011,"{'coordinates': [2.373015, 48.868581], 'type': 'Point'}",50bb0fa06e562a242f115ddbdae2ed9c7df93d57,-,0,Paris,France
-,"[48.875155, 2.335536]",51 Rue Victoire,Le chantereine,2012-10-22,75009,"{'coordinates': [2.335536, 48.875155], 'type': 'Point'}",eb8a62feeedaf7ed8b8c912305270ee857068689,1,1,Paris,France
-,"[48.886536, 2.346525]",11 rue Feutrier,Le Müller,2012-10-22,75018,"{'coordinates': [2.346525, 48.886536], 'type': 'Point'}",62c552f167f671f88569c1f2d6a44098fb514c51,1,1,Paris,France
-,"[48.841494, 2.307117]",21 rue Copreaux,Le drapeau de la fidelité,2012-10-22,75015,"{'coordinates': [2.307117, 48.841494], 'type': 'Point'}",5120ea0b9d7387766072b90655166486928e25c8,1,1,Paris,France
-,"[48.839743, 2.296898]",125 rue Blomet,Le café des amis,2012-10-22,75015,"{'coordinates': [2.296898, 48.839743], 'type': 'Point'}",865f62415adc5c34e3ca38a1748b7a324dfba209,1,1,Paris,France
-,"[48.857728, 2.349641]",10 rue Saint Martin,Le Café Livres,2012-10-09,75004,"{'coordinates': [2.349641, 48.857728], 'type': 'Point'}",7ef54a78802d49cafd2701458df2b0d0530d123b,-,1,Paris,France
-,"[48.856003, 2.30457]",46 avenue Bosquet,Le Bosquet,2012-10-09,75007,"{'coordinates': [2.30457, 48.856003], 'type': 'Point'}",d701a759e08a71f4bbb01f29473274b0152135d0,-,1,Paris,France
-,"[48.889426, 2.332954]",12 rue Armand Carrel,Le Chaumontois,2012-03-07,75018,"{'coordinates': [2.332954, 48.889426], 'type': 'Point'}",e12ff00a644c91ad910ddc63a770c190be93a393,-,1,Paris,France
-,"[48.838521, 2.370478]",34 avenue Pierre Mendès-France,Le Kleemend's,2012-03-07,75013,"{'coordinates': [2.370478, 48.838521], 'type': 'Point'}",0f6cd1ee7751b00c9574efcfdcf66fa0e857d251,-,1,Paris,France
