name,address,zipcode,city
Coffee Chope,344Vrue Vaugirard,75015,Paris
Extérieur Quai,"5, rue d'Alsace",75010,Paris
Le Sully,6 Bd henri IV,75004,Paris
O q de poule,53 rue du ruisseau,75018,Paris
Le Pas Sage,1 Passage du Grand Cerf,75002,Paris
La Renaissance,112 Rue Championnet,75018,Paris
La Caravane,Rue de la Fontaine au Roi,75011,Paris
Le chantereine,51 Rue Victoire,75009,Paris
Le Müller,11 rue Feutrier,75018,Paris
Le drapeau de la fidelité,21 rue Copreaux,75015,Paris
Le café des amis,125 rue Blomet,75015,Paris
Le Café Livres,10 rue Saint Martin,75004,Paris
Le Bosquet,46 avenue Bosquet,75007,Paris
Le Chaumontois,12 rue Armand Carrel,75018,Paris
Le Kleemend's,34 avenue Pierre Mendès-France,75013,Paris
Café Pierre,202 rue du faubourg st antoine,75012,Paris
Les Arcades,61 rue de Ponthieu,75008,Paris
Le Square,31 rue Saint-Dominique,75007,Paris
Assaporare Dix sur Dix,"75, avenue Ledru-Rollin",75012,Paris
Au cerceau d'or,129 boulevard sebastopol,75002,Paris
Aux cadrans,21 ter boulevard Diderot,75012,Paris
Café antoine,17 rue Jean de la Fontaine,75016,Paris
Café de la Mairie (du VIII),rue de Lisbonne,75008,Paris
Café Lea,5 rue Claude Bernard,75005,Paris
Cardinal Saint-Germain,11 boulevard Saint-Germain,75005,Paris
Dédé la frite,52 rue Notre-Dame des Victoires,75002,Paris
La Bauloise,36 rue du hameau,75015,Paris
Le Bellerive,71 quai de Seine,75019,Paris
Le bistrot de Maëlle et Augustin,42 rue coquillère,75001,Paris
Le Dellac,14 rue Rougemont,75009,Paris
Le Felteu,1 rue Pecquay,75004,Paris
Le Reynou,2 bis quai de la mégisserie,75001,Paris
Le Saint Jean,23 rue des abbesses,75018,Paris
les montparnos,65 boulevard Pasteur,75015,Paris
Le Supercoin,"3, rue Baudelique",75018,Paris
Populettes,86 bis rue Riquet,75018,Paris
Au bon coin,49 rue des Cloys,75018,Paris
Le Couvent,69 rue Broca,75013,Paris
La Brûlerie des Ternes,111 rue mouffetard,75005,Paris
L'Écir,59 Boulevard Saint-Jacques,75014,Paris
Le Chat bossu,"126, rue du Faubourg Saint Antoine",75012,Paris
Denfert café,58 boulvevard Saint Jacques,75014,Paris
Le Café frappé,95 rue Montmartre,75002,Paris
